City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Valdivia,CL,2021-04-25 20:39:16,-39.8142,-73.2459,64.4,68,0,5.75
91,Butaritari,KI,2021-04-25 20:33:48,3.0707,172.7902,82.6,75,16,12.39
92,Mehamn,NO,2021-04-25 20:39:16,71.0357,27.8492,33.8,75,75,13.8
93,Pisco,PE,2021-04-25 20:35:30,-13.7,-76.2167,71.01,83,20,11.5
94,Nikolo-Pavlovskoye,RU,2021-04-25 20:39:17,57.7831,60.0578,36.68,76,5,9.78
95,Bandarbeyla,SO,2021-04-25 20:31:25,9.4942,50.8122,83.03,72,74,8.34
96,Port Macquarie,AU,2021-04-25 20:35:50,-31.4333,152.9167,55.0,94,9,3.0
97,Ayna,PE,2021-04-25 20:39:18,-12.65,-73.9167,71.19,63,41,3.98
98,Victoria,HK,2021-04-25 20:35:20,22.2855,114.1577,73.0,84,100,4.0
99,Athabasca,CA,2021-04-25 20:39:18,54.7169,-113.2854,46.4,23,100,8.05
100,Klaksvik,FO,2021-04-25 20:35:25,62.2266,-6.589,44.6,100,100,12.66
101,Sorland,NO,2021-04-25 20:34:41,67.667,12.6934,35.6,87,75,4.61
102,Vostok,RU,2021-04-25 20:34:29,46.4856,135.8833,27.14,52,10,3.98
103,Santa Vitoria Do Palmar,BR,2021-04-25 20:38:23,-33.5189,-53.3681,62.11,83,94,12.28
104,Mar Del Plata,AR,2021-04-25 20:33:49,-38.0023,-57.5575,63.0,67,40,11.5
105,Susanville,US,2021-04-25 20:39:20,40.4163,-120.653,51.8,32,20,14.97
106,Geraldton,AU,2021-04-25 20:31:13,-28.7667,114.6,62.6,63,0,10.36
107,Labuhan,ID,2021-04-25 20:39:16,-6.8844,112.2051,76.75,87,70,7.61
108,Port Alfred,ZA,2021-04-25 20:34:17,-33.5906,26.891,70.5,62,100,13.09
109,Strezhevoy,RU,2021-04-25 20:39:21,60.7333,77.5889,37.4,75,0,6.71
110,Sosva,RU,2021-04-25 20:39:21,59.1766,61.8558,39.7,90,95,7.52
111,Beloha,MG,2021-04-25 20:35:09,-25.1667,45.05,73.13,74,0,7.65
112,Dikson,RU,2021-04-25 20:33:27,73.5069,80.5464,16.45,91,100,11.34
113,Kapoeta,SS,2021-04-25 20:35:38,4.7717,33.5903,78.03,64,100,5.23
114,Svendborg,DK,2021-04-25 20:39:23,55.0598,10.6068,42.8,65,20,5.75
115,Anderson,US,2021-04-25 20:39:23,34.5334,-82.6499,75.99,40,1,4.61
116,Blagoyevo,RU,2021-04-25 20:39:24,63.3667,47.9167,40.5,93,100,7.16
117,Tiksi,RU,2021-04-25 20:33:53,71.6872,128.8694,25.41,96,100,0.07
118,Karratha,AU,2021-04-25 20:34:49,-20.7377,116.8463,75.47,59,0,7.83
119,Hobyo,SO,2021-04-25 20:31:46,5.3505,48.5268,83.98,64,56,10.18
120,Port-Gentil,GA,2021-04-25 20:35:28,-0.7193,8.7815,82.4,78,20,4.61
121,Sorong,ID,2021-04-25 20:39:25,-0.8833,131.25,77.83,87,72,7.2
122,Namatanai,PG,2021-04-25 20:35:40,-3.6667,152.4333,80.04,80,86,1.74
123,Japura,ID,2021-04-25 20:39:25,-0.3167,102.35,73.89,97,41,1.99
124,Upernavik,GL,2021-04-25 20:30:26,72.7868,-56.1549,36.01,83,22,5.19
125,Mount Gambier,AU,2021-04-25 20:36:08,-37.8333,140.7667,51.8,93,90,8.05
126,San Pedro,PH,2021-04-25 20:39:26,14.35,121.0167,80.6,78,20,2.3
127,High Level,CA,2021-04-25 20:32:52,58.5169,-117.136,41.0,48,90,4.61
