City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
149,Kieta,PG,-6.2167,155.6333,82.8,69,85,2.21,overcast clouds
150,Awjilah,LY,29.1081,21.2869,65.62,52,0,12.39,clear sky
151,Prieska,ZA,-29.6641,22.7474,70.7,21,100,6.04,overcast clouds
152,Rehoboth,NA,-23.3167,17.0833,64.89,39,37,1.1,scattered clouds
153,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.0,69,0,1.99,clear sky
154,Labuhan,ID,-6.8844,112.2051,76.53,87,54,8.14,broken clouds
155,Ekhabi,RU,53.5102,142.9671,26.53,66,5,5.23,clear sky
156,Kandrian,PG,-6.2167,149.55,79.0,83,100,5.28,overcast clouds
157,Saint-Pierre,RE,-21.3393,55.4781,77.0,73,0,19.57,clear sky
158,Lagoa,PT,39.05,-27.9833,59.22,82,99,12.66,overcast clouds
159,Bambanglipuro,ID,-7.95,110.2833,74.98,85,51,3.06,broken clouds
160,Siderno,IT,38.2779,16.302,57.99,62,12,8.05,few clouds
161,George Town,MY,5.4112,100.3354,80.01,89,20,2.3,few clouds
162,Leshukonskoye,RU,64.8989,45.7622,39.81,93,100,5.75,overcast clouds
163,Bethel,US,41.3712,-73.414,60.8,51,40,9.22,scattered clouds
164,Kenai,US,60.5544,-151.2583,53.6,37,1,8.05,clear sky
165,Gorin,RU,51.1983,136.6669,37.09,40,15,2.17,few clouds
166,Coquimbo,CL,-29.9533,-71.3436,59.0,82,0,10.36,clear sky
167,Vostok,RU,46.4856,135.8833,33.91,38,9,3.53,clear sky
168,Tamasane,BW,-22.4184,27.4013,65.21,25,0,2.51,clear sky
169,Honningsvag,NO,70.9821,25.9704,36.18,68,100,12.28,overcast clouds
170,Indramayu,ID,-6.3264,108.32,79.12,79,32,7.45,scattered clouds
171,Georgiyevka,KZ,43.0369,74.7114,50.0,71,20,4.47,few clouds
172,Pangnirtung,CA,66.1451,-65.7125,36.1,88,99,0.56,overcast clouds
173,Matadi,CD,-5.8167,13.45,77.9,89,97,2.95,overcast clouds
174,Caravelas,BR,-17.7125,-39.2481,76.96,80,5,7.78,clear sky
175,Hobart,AU,-42.8794,147.3294,57.2,58,75,8.05,broken clouds
176,Shitanjing,CN,39.2342,106.3439,39.58,37,13,12.17,few clouds
177,Hun,LY,29.1268,15.9477,65.41,52,1,8.61,clear sky
178,La Ronge,CA,55.1001,-105.2842,37.4,44,100,11.5,overcast clouds
179,Tipuani,BO,-15.5648,-68.0185,66.9,99,100,1.07,overcast clouds
180,Catia La Mar,VE,10.6038,-67.0303,84.2,74,40,2.3,scattered clouds
181,Blagoyevo,RU,63.3667,47.9167,39.67,92,100,5.57,overcast clouds
182,Nouadhibou,MR,20.931,-17.0347,66.2,82,0,14.97,clear sky
183,Upernavik,GL,72.7868,-56.1549,35.31,81,23,4.63,few clouds
184,Dikson,RU,73.5069,80.5464,16.95,90,100,12.33,overcast clouds
185,Takoradi,GH,4.8845,-1.7554,80.78,83,66,6.71,broken clouds
186,Mar Del Plata,AR,-38.0023,-57.5575,62.6,67,40,10.36,scattered clouds
187,Darab,IR,28.7519,54.5444,72.27,30,81,5.26,broken clouds
188,Hay River,CA,60.8156,-115.7999,24.8,63,100,10.36,light snow
