City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
297,Hope,US,77.0,clear sky,33.6671,-93.5916,Best Western Hope
298,Camuy,PR,81.0,overcast clouds,18.4838,-66.8449,Serenity Hair Design & Spa
304,Worland,US,66.99,few clouds,44.0169,-107.9554,Town House Motor Inn
308,Charters Towers,AU,68.58,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
310,Kutum,SD,78.28,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
316,Lahij,YE,76.41,broken clouds,13.1667,44.5833,
323,Camacari,BR,80.6,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
324,Mazagao,BR,80.6,light rain,-0.115,-51.2894,Recanto dos Ferreiras
325,Plettenberg Bay,ZA,65.71,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
327,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
328,Domoni,KM,79.03,overcast clouds,-12.2569,44.5319,Al Djadid
332,Manjacaze,MZ,66.24,clear sky,-24.7117,33.8828,Hotel Gani
334,Salamiyah,SY,68.45,few clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
337,Santo Amaro Da Imperatriz,BR,73.4,broken clouds,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
338,Santa Isabel Do Rio Negro,BR,78.98,overcast clouds,-0.4139,-65.0192,Hotel GSA
343,Sao Filipe,CV,72.73,broken clouds,14.8961,-24.4956,Tortuga B&B
345,Chincha Alta,PE,66.2,few clouds,-13.4099,-76.1323,Buena Vista Casa Hotel
353,Ouadda,CF,69.71,moderate rain,8.0777,22.4007,
356,Suez,EG,69.17,clear sky,29.9737,32.5263,Green House
358,Limon,CR,84.2,broken clouds,10.0,-83.0333,Hotel Playa Bonita
359,Medina,SA,82.4,clear sky,24.4686,39.6142,Anwar Al Madinah Mövenpick Hotel
362,Bubaque,GW,78.26,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
364,Khash,IR,69.64,scattered clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
365,Payson,US,66.99,overcast clouds,40.0444,-111.7321,Quality Inn Payson I-15
368,Norsup,VU,82.69,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
369,Port Blair,IN,81.03,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
370,Janakpur,NP,79.48,scattered clouds,26.7183,85.9065,Hotel Sita Palace
373,Avera,US,77.0,scattered clouds,33.194,-82.5271,
374,Teguise,ES,68.0,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
376,Craig,US,69.8,clear sky,40.5153,-107.5464,Candlewood Suites Craig-Northwest
377,Coahuayana,MX,84.2,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
378,Amuntai,ID,74.8,overcast clouds,-2.4177,115.2494,Hotel Balqis
